개방시간,위도,경도
24시간,37.48215245,126.8839528
07:00~24:00,37.45428665,126.9018183
24시간,37.45706511,126.8960352
24시간,37.4399576,126.9007057
24시간,37.4489203,126.8967444
24시간,37.4553281,126.8936166
24시간,37.4566535,126.8930308
24시간,37.4654584,126.8854471
24시간,37.4683556,126.8836688
24시간,37.4787197,126.8757179
24시간,37.4831858,126.8738803
24시간,37.4590423,126.8892068
24시간,37.4643166,126.8870522
24시간,37.4636133,126.8841338
24시간,37.4586732,126.8928869
24시간,37.4678308,126.9096395
24시간,37.46298498,126.9071224
24시간,37.452043,126.9069858
24시간,37.4763121,126.9018749
24시간,37.4699341,126.9011464
24시간,37.4521188,126.9251191
24시간,37.44627142,126.9097377
24시간,37.4397637,126.9108099
24시간,37.473535,126.9073048
24시간,37.4748437,126.9095932
24시간,37.4469615,126.911422
24시간,37.4503384,126.9248812
24시간,37.4427282,126.9115082
24시간,37.4737275,126.9064937
24시간,37.45310959,126.9216372
24시간,37.449608,126.9146113
09:00~23:00,37.4573459,126.9064282
09:00~18:00,37.446397,126.9044442
정시(06:00~22:00),37.4700707,126.9073397
24시간,37.4766272,126.8955605
24시간,37.46494248,126.894817
24시간,37.4794495,126.9063345
24시간,37.46943053,126.9045053
24시간,37.4763121,126.9018749
24시간,37.4778365,126.9027254
24시간,37.44292731,126.9057231
24시간,37.4547522,126.9092001
24시간,37.4607323,126.9109466
24시간,37.45934662,126.9093513
24시간,37.48330365,126.87608161
09:00~18:00,37.44588737,126.9026365
정시(06:00~22:00),37.46758091,126.9081069
정시(06:00~22:00),37.4734504,126.8921274
월~금 10:00 ~ 19:00,37.45180869,126.9116478
09:00~18:00,37.4768682,126.8917561
09:00~18:00,37.47022076,126.8970301
09:00~18:00,37.4579178,126.8877667
09:00~18:00,37.4631474,126.90348246
09:00~18:00,37.475137,126.9031731
09:00~18:00,37.46755452,126.9021351
09:00~18:00,37.4535401,126.903248
09:00~18:00,37.4496493,126.9146113
09:00~18:00,37.4402328,126.9058029
09:00~18:00,37.4589663,126.9061709
09:00~18:00,37.4523731,126.9083063
24시간,37.45553552,126.8943636
24시간,37.46598642,126.8895163
24시간,37.48159601,126.8825604
24시간,37.48159601,126.8825604
09:00~18:00,37.47843871,126.8938122
09:00~18:00,37.47184219,126.8849044
09:00~21:00,37.4761293,126.8837128
09:00~18:00,37.47801866,126.8998003
09:00~18:00,37.47014572,126.89852494
06:00~21:00,37.45822583,126.90507093
09:00~18:00,37.4501451,126.8977626
09:00~18:00,37.44644635,126.9030223
09:00~22:00,37.46355751,126.9064706
06:00~23:00,37.46688433,126.8900383
24시간,37.47682874,126.8991162
24시간,37.453442,126.9005383
24시간,37.43720863,126.9024534
06:00~24:00,37.4444904,126.904244
07:00~23:00,37.48020539,126.9075035
05:00~24:00,37.4589133,126.8994053
06:00~23:00,37.44971869,126.9029548
24시간,37.4671502,126.897154
24시간,37.47315158,126.8978925
05:00~10:30,37.48205329,126.875184
05:00~23:00,37.46050327,126.9044531
24시간,37.44131058,126.9030992
24시간,37.46162991,126.8984161
24시간,37.458507,126.8981453
24시간,37.4711303,126.897743
24시간,37.4761063,126.8931252
24시간,37.47593767,126.8980461
24시간,37.473305,126.8955551
24시간,37.4488601,126.903246
24시간,37.47756047,126.8992429
24시간,37.4657473,126.8883773
24시간,37.4715113,126.8987752
24시간,37.4342418,126.9038695
24시간,37.48191219,126.881583
24시간,37.46707866,126.9020509
24시간,37.44788405,126.9026929
24시간,37.4540183,126.9023422
24시간,37.4705144,126.8985388
09:00~16:00,37.450743,126.9102269
09:00~16:00,37.4793205,126.9027263
09:00~16:00,37.46360803,126.8978303
