Error,설명,,예제
AssertionError,"assert 문이 실패할 때 발생하는 에러입니다. assert문은 주어진 조건이 거짓인 경우 에러를 일으키는 함수이며, if 조건문과 같이 동작합니다. assert 함수는 주로 프로그램 점검을 할 때 이용됩니다.",,">>> x = 999
>>> assert x != 999, 'x의 값이 예상과 다릅니다'

AssertionError: x의 값이 예상과 다릅니다"
AttributeError,"대상이 지원하지 않는 함수를 사용하려 할 때 발생하는 에러입니다. 예를 들어, 숫자에 문자열을 대상으로 사용되는 함수를 사용할 경우 등의 문제에서 발생합니다.",,">>> x = 9989
>>> x.split(8)

AttributeError: 'int' object has no attribute 'split'"
EOFError,input() 함수가 데이터를 읽지 못한 상태에서 EOF (end-of-file) 조건을 만날 때 발생합니다. (주의하세요: io.IOBase.read() 와 io.IOBase.readline() 메서드는 EOF를 만날 때 빈 문자열을 돌려줍니다.),,
FloatingPointError,현재 사용되지 않습니다.,,
GeneratorExit,제너레이터 또는 코루틴 이 닫힐 때 발생합니다, generator.close() 와 coroutine.close() 를 보십시오. 기술적으로 에러가 아니므로 Exception 대신에 BaseException 을 직접 계승합니다.,
ImportError,import 문이 모듈을 로드하는 데 문제가 있을 때 발생합니다. 또한 from ... import 에서 임포트 하려는 이름을 찾을 수 없을 때도 발생합니다.,,
ModuleNotFoundError,"ImportError 의 서브 클래스인데, 모듈을 찾을 수 없을 때 import 가 일으킵니다. sys.modules 에서 None 이 발견될 때도 발생합니다.",,
IndexError,시퀀스 인덱스가 범위를 벗어날 때 발생합니다. (슬라이스 인덱스는 허용된 범위 내에 들어가도록 자동으로 잘립니다, 인덱스가 정수가 아니면 TypeError 가 발생합니다.),
KeyError,매핑 (딕셔너리) 키가 기존 키 집합에서 발견되지 않을 때 발생합니다.,,
KeyboardInterrupt,"사용자가 인터럽트 키(일반적으로 Control-C 또는 Delete)를 누를 때 발생합니다. 실행 중에 인터럽트 검사가 정기적으로 수행됩니다. Exception을 잡는 코드에 의해 우연히 잡혀서, 인터프리터가 종료하는 것을 막지 못하도록 BaseException 를 계승합니다.",,
